                       mfcc1     mfcc2     mfcc3     mfcc4     mfcc5     mfcc6     mfcc7     mfcc8     mfcc9    mfcc10    mfcc11    mfcc12    mfcc13   chroma1   chroma2   chroma3   chroma4   chroma5   chroma6   chroma7   chroma8   chroma9  chroma10  chroma11  chroma12  spectral_centroid  spectral_rolloff  zero_crossing_rate  spectral_bandwidth  rms_energy
mfcc1               1.000000 -0.434625 -0.766645  0.486680 -0.549285  0.050864 -0.271060 -0.140269 -0.503007  0.143324 -0.207113 -0.075886  0.259641 -0.538494 -0.609217 -0.376093  0.090877  0.187670 -0.008732 -0.065792  0.037236 -0.055355 -0.009121 -0.119068 -0.435532           0.492036          0.433057            0.548957           -0.001521    0.604777
mfcc2              -0.434625  1.000000  0.629151 -0.576528  0.689534 -0.079677  0.330850 -0.151226  0.509234 -0.481319  0.105046 -0.189428 -0.135994  0.311222  0.300158 -0.078295 -0.476445 -0.503736 -0.325105 -0.206563 -0.251722 -0.116197 -0.130356 -0.031450  0.264081          -0.868698         -0.850635           -0.848013           -0.562475   -0.020490
mfcc3              -0.766645  0.629151  1.000000 -0.477252  0.494654  0.140665  0.154253  0.162971  0.462697 -0.249127  0.033486 -0.006756 -0.482878  0.369322  0.486564  0.228412 -0.300848 -0.421153 -0.291976 -0.222599 -0.258547 -0.159616 -0.200704 -0.092458  0.246517          -0.658876         -0.615319           -0.673677           -0.099780   -0.285692
mfcc4               0.486680 -0.576528 -0.477252  1.000000 -0.398235  0.430622 -0.574971  0.354364 -0.367111  0.611120 -0.446624  0.210915  0.208773 -0.214477 -0.139750  0.135607  0.357178  0.311925  0.145167  0.126240  0.195917  0.005159  0.007310 -0.015893 -0.220120           0.646456          0.609128            0.685554            0.408884   -0.012758
mfcc5              -0.549285  0.689534  0.494654 -0.398235  1.000000 -0.112753  0.259577 -0.190497  0.702938 -0.347660  0.127212 -0.215003  0.066721  0.411562  0.369546  0.014987 -0.333522 -0.351355 -0.158123 -0.024806 -0.105678 -0.000711 -0.030564  0.053770  0.367337          -0.745656         -0.731876           -0.748478           -0.497391   -0.137301
mfcc6               0.050864 -0.079677  0.140665  0.430622 -0.112753  1.000000 -0.518316  0.638859 -0.361485  0.523541 -0.201168  0.114414 -0.076262  0.026295  0.123226  0.242930  0.185587  0.050596 -0.092959 -0.079782  0.005219 -0.014429  0.074369  0.121338  0.010348           0.250730          0.263456            0.293515            0.455990   -0.312718
mfcc7              -0.271060  0.330850  0.154253 -0.574971  0.259577 -0.518316  1.000000 -0.517041  0.247233 -0.504130  0.404873 -0.110541 -0.085851  0.082522 -0.047194 -0.296235 -0.450899 -0.397706 -0.174244 -0.045107 -0.047857  0.079511  0.007584 -0.035894  0.125970          -0.507736         -0.485677           -0.552353           -0.524096    0.146893
mfcc8              -0.140269 -0.151226  0.162971  0.354364 -0.190497  0.638859 -0.517041  1.000000 -0.351646  0.552927 -0.177362  0.330910 -0.017194  0.238830  0.421291  0.616546  0.511907  0.325977  0.175013  0.084437  0.119876  0.060924  0.138304  0.222094  0.151230           0.375388          0.406631            0.402903            0.645855   -0.542669
mfcc9              -0.503007  0.509234  0.462697 -0.367111  0.702938 -0.361485  0.247233 -0.351646  1.000000 -0.433252 -0.004000 -0.027139  0.022712  0.363293  0.298170 -0.006701 -0.259625 -0.203780 -0.026988  0.023504 -0.041722 -0.014314 -0.162996 -0.065460  0.301171          -0.653835         -0.654063           -0.656625           -0.492474    0.087940
mfcc10              0.143324 -0.481319 -0.249127  0.611120 -0.347660  0.523541 -0.504130  0.552927 -0.433252  1.000000 -0.376864  0.231411  0.258723 -0.018789  0.135861  0.387895  0.488398  0.409387  0.253881  0.181495  0.167334  0.006349  0.068467  0.092326 -0.067017           0.627499          0.622602            0.630351            0.625673   -0.459630
mfcc11             -0.207113  0.105046  0.033486 -0.446624  0.127212 -0.201168  0.404873 -0.177362 -0.004000 -0.376864  1.000000 -0.181903 -0.182200  0.171877 -0.030092 -0.093202 -0.041137 -0.006761  0.114049  0.195494  0.275663  0.471346  0.480599  0.388463  0.302697          -0.140015         -0.090518           -0.192823           -0.064952    0.059158
mfcc12             -0.075886 -0.189428 -0.006756  0.210915 -0.215003  0.114414 -0.110541  0.330910 -0.027139  0.231411 -0.181903  1.000000  0.051630  0.046593  0.147129  0.241431  0.252805  0.228372  0.172122  0.066279  0.005676 -0.059791 -0.068577 -0.005686  0.009161           0.180069          0.192020            0.200660            0.200946   -0.208424
mfcc13              0.259641 -0.135994 -0.482878  0.208773  0.066721 -0.076262 -0.085851 -0.017194  0.022712  0.258723 -0.182200  0.051630  1.000000  0.120570 -0.005688  0.027198  0.236114  0.296421  0.253020  0.207151  0.167623  0.149580  0.215637  0.281885  0.194230           0.157465          0.126610            0.203902           -0.121735   -0.039804
chroma1            -0.538494  0.311222  0.369322 -0.214477  0.411562  0.026295  0.082522  0.238830  0.363293 -0.018789  0.171877  0.046593  0.120570  1.000000  0.771983  0.436560  0.130119  0.050779  0.119777  0.101158  0.092597  0.212956  0.241658  0.498561  0.872888          -0.228918         -0.189609           -0.240811            0.048995   -0.393182
chroma2            -0.609217  0.300158  0.486564 -0.139750  0.369546  0.123226 -0.047194  0.421291  0.298170  0.135861 -0.030092  0.147129 -0.005688  0.771983  1.000000  0.751215  0.233976  0.071833  0.115721  0.057513 -0.019402  0.016865 -0.003725  0.172494  0.511165          -0.175811         -0.140792           -0.197433            0.200179   -0.512040
chroma3            -0.376093 -0.078295  0.228412  0.135607  0.014987  0.242930 -0.296235  0.616546 -0.006701  0.387895 -0.093202  0.241431  0.027198  0.436560  0.751215  1.000000  0.693981  0.415863  0.307038  0.165003  0.127522  0.097892  0.079292  0.143045  0.248977           0.232165          0.266281            0.219313            0.527847   -0.508686
chroma4             0.090877 -0.476445 -0.300848  0.357178 -0.333522  0.185587 -0.450899  0.511907 -0.259625  0.488398 -0.041137  0.252805  0.236114  0.130119  0.233976  0.693981  1.000000  0.853998  0.581791  0.331811  0.324581  0.267722  0.274947  0.259089  0.099046           0.633109          0.652329            0.631479            0.642238   -0.261713
chroma5             0.187670 -0.503736 -0.421153  0.311925 -0.351355  0.050596 -0.397706  0.325977 -0.203780  0.409387 -0.006761  0.228372  0.296421  0.050779  0.071833  0.415863  0.853998  1.000000  0.803327  0.470502  0.414766  0.329222  0.296945  0.276193  0.071338           0.644703          0.656361            0.631212            0.566280   -0.157403
chroma6            -0.008732 -0.325105 -0.291976  0.145167 -0.158123 -0.092959 -0.174244  0.175013 -0.026988  0.253881  0.114049  0.172122  0.253020  0.119777  0.115721  0.307038  0.581791  0.803327  1.000000  0.779276  0.588755  0.440419  0.325441  0.289615  0.147220           0.449340          0.477182            0.406728            0.449732   -0.229848
chroma7            -0.065792 -0.206563 -0.222599  0.126240 -0.024806 -0.079782 -0.045107  0.084437  0.023504  0.181495  0.195494  0.066279  0.207151  0.101158  0.057513  0.165003  0.331811  0.470502  0.779276  1.000000  0.805635  0.540461  0.374877  0.304642  0.165323           0.329259          0.361255            0.279685            0.348059   -0.228867
chroma8             0.037236 -0.251722 -0.258547  0.195917 -0.105678  0.005219 -0.047857  0.119876 -0.041722  0.167334  0.275663  0.005676  0.167623  0.092597 -0.019402  0.127522  0.324581  0.414766  0.588755  0.805635  1.000000  0.817913  0.566293  0.413625  0.183935           0.379569          0.412546            0.343993            0.368397   -0.112742
chroma9            -0.055355 -0.116197 -0.159616  0.005159 -0.000711 -0.014429  0.079511  0.060924 -0.014314  0.006349  0.471346 -0.059791  0.149580  0.212956  0.016865  0.097892  0.267722  0.329222  0.440419  0.540461  0.817913  1.000000  0.835440  0.601128  0.339570           0.207075          0.248581            0.187848            0.231597   -0.086213
chroma10           -0.009121 -0.130356 -0.200704  0.007310 -0.030564  0.074369  0.007584  0.138304 -0.162996  0.068467  0.480599 -0.068577  0.215637  0.241658 -0.003725  0.079292  0.274947  0.296945  0.325441  0.374877  0.566293  0.835440  1.000000  0.821442  0.437083           0.217902          0.253581            0.224100            0.203761   -0.138812
chroma11           -0.119068 -0.031450 -0.092458 -0.015893  0.053770  0.121338 -0.035894  0.222094 -0.065460  0.092326  0.388463 -0.005686  0.281885  0.498561  0.172494  0.143045  0.259089  0.276193  0.289615  0.304642  0.413625  0.601128  0.821442  1.000000  0.751626           0.138624          0.174880            0.149529            0.178263   -0.241446
chroma12           -0.435532  0.264081  0.246517 -0.220120  0.367337  0.010348  0.125970  0.151230  0.301171 -0.067017  0.302697  0.009161  0.194230  0.872888  0.511165  0.248977  0.099046  0.071338  0.147220  0.165323  0.183935  0.339570  0.437083  0.751626  1.000000          -0.194798         -0.155686           -0.196694           -0.000114   -0.320414
spectral_centroid   0.492036 -0.868698 -0.658876  0.646456 -0.745656  0.250730 -0.507736  0.375388 -0.653835  0.627499 -0.140015  0.180069  0.157465 -0.228918 -0.175811  0.232165  0.633109  0.644703  0.449340  0.329259  0.379569  0.207075  0.217902  0.138624 -0.194798           1.000000          0.989728            0.977760            0.760335   -0.110764
spectral_rolloff    0.433057 -0.850635 -0.615319  0.609128 -0.731876  0.263456 -0.485677  0.406631 -0.654063  0.622602 -0.090518  0.192020  0.126610 -0.189609 -0.140792  0.266281  0.652329  0.656361  0.477182  0.361255  0.412546  0.248581  0.253581  0.174880 -0.155686           0.989728          1.000000            0.950921            0.814007   -0.154773
zero_crossing_rate  0.548957 -0.848013 -0.673677  0.685554 -0.748478  0.293515 -0.552353  0.402903 -0.656625  0.630351 -0.192823  0.200660  0.203902 -0.240811 -0.197433  0.219313  0.631479  0.631212  0.406728  0.279685  0.343993  0.187848  0.224100  0.149529 -0.196694           0.977760          0.950921            1.000000            0.684413   -0.075640
spectral_bandwidth -0.001521 -0.562475 -0.099780  0.408884 -0.497391  0.455990 -0.524096  0.645855 -0.492474  0.625673 -0.064952  0.200946 -0.121735  0.048995  0.200179  0.527847  0.642238  0.566280  0.449732  0.348059  0.368397  0.231597  0.203761  0.178263 -0.000114           0.760335          0.814007            0.684413            1.000000   -0.431934
rms_energy          0.604777 -0.020490 -0.285692 -0.012758 -0.137301 -0.312718  0.146893 -0.542669  0.087940 -0.459630  0.059158 -0.208424 -0.039804 -0.393182 -0.512040 -0.508686 -0.261713 -0.157403 -0.229848 -0.228867 -0.112742 -0.086213 -0.138812 -0.241446 -0.320414          -0.110764         -0.154773           -0.075640           -0.431934    1.000000
